bikes_allowed,block_id,direction_id,headsign,name,wheelchair_accessible
1,C57-216,0,Watertown Yard,,1
1,C57-216,1,Kenmore,,1
1,C57-216,0,Watertown Yard,,1
1,C57-215,0,Watertown Yard,,1
1,C57-215,1,Kenmore,,1
1,C57-215,0,Watertown Yard,,1
1,C57-215,1,Kenmore,,1
1,C57-215,0,Watertown Yard,,1
1,C57-215,1,Kenmore,,1
1,C57-215,0,Watertown Yard,,1
1,C57-215,1,Kenmore,,1
1,C57-215,0,Watertown Yard,,1
1,C57-215,1,Kenmore,,1
1,C57-215,0,Watertown Yard,,1
1,C57-215,1,Kenmore,,1
1,C57-215,0,Watertown Yard,,1
1,C57-217,0,Watertown Yard,,1
1,C57-217,1,Kenmore,,1
1,C57-217,0,Watertown Yard,,1
1,C57-217,1,Kenmore,,1
1,C57-217,0,Watertown Yard,,1
1,C57-217,1,Kenmore,,1
1,C57-217,0,Watertown Yard,,1
1,C57-217,1,Kenmore,,1
1,C57-217,0,Watertown Yard,,1
1,C57-217,1,Kenmore,,1
1,C57-217,0,Watertown Yard,,1
1,C57-217,1,Kenmore,,1
1,C57-217,0,Watertown Yard,,1
1,C57-217,1,Kenmore,,1
1,C57-217,0,Watertown Yard,,1
1,C57-217,1,Kenmore,,1
1,C57-217,0,Watertown Yard,,1
1,C57-214,0,Watertown Yard,,1
1,C57-214,1,Kenmore,,1
1,C57-214,0,Watertown Yard,,1
1,C57-214,1,Kenmore,,1
1,C57-214,0,Watertown Yard,,1
1,C57-214,1,Kenmore,,1
1,C57-214,0,Watertown Yard,,1
1,C57-214,1,Kenmore,,1
1,C57-218,0,Watertown Yard,,1
1,C57-218,1,Kenmore,,1
1,C57-218,0,Watertown Yard,,1
1,C57-218,1,Kenmore,,1
1,C57-218,0,Watertown Yard,,1
1,C57-218,1,Kenmore,,1
1,C57-218,0,Watertown Yard,,1
